iso3,proGres_code,gis_name,UNSD_name,main_office,main_office_short,hcr_region,hcr_subregion,code_op,excom,globalid
CHE,SWI,Switzerland,Switzerland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{11DC71B1-10C3-428C-B207-109C6969F5D1}
SYR,SYR,Syrian Arab Republic,Syrian Arab Republic,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SYR ABC,0,{3A630B87-0BE5-4736-98CB-F760CD28B4ED}
TJK,TJK,Tajikistan,Tajikistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,TJK ABC,0,{943A70D3-2893-4385-9B2F-6455C4FBFA40}
THA,THA,Thailand,Thailand,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA ABC,0,{219BB312-E4BD-4080-8A48-D9752FA0E5F5}
TLS,TMP,Timor-Leste,Timor-Leste,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{182F4930-E9EF-4E15-85DA-E88155F74464}
TGO,TOG,Togo,Togo,West and Central Africa,West and Central Africa,Africa,West Africa,SEN RO ABC,0,{6F6706FD-BAC9-476C-BD21-5EF3DCC2CF92}
TON,TON,Tonga,Tonga,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{FA8979CD-ABD8-4B3A-8A8D-35A6E8F07CD5}
TTO,TRT,Trinidad and Tobago,Trinidad and Tobago,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{C8C0A909-931E-4D31-B581-530E986A9D20}
TUN,TUN,Tunisia,Tunisia,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,TUN ABC,0,{3A80A10F-471B-438A-9362-83EEFD3D562E}
TUR,TUR,Turkey,Turkey,Europe,Europe,Europe,Eastern Europe,TUR ABC,0,{412A83B4-9D25-4714-B9CD-FE1B8849D0D4}
TKM,TKM,Turkmenistan,Turkmenistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,KAZ RO ABC,0,{D64760CC-034F-45FB-BD17-D31CBB61CCDC}
TCA,TCI,Turks and Caicos Islands (GBR),Turks and Caicos Islands,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{7D18FAEB-C9C5-4173-99CD-5A43A8A47B1F}
TUV,TUV,Tuvalu,Tuvalu,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{AC158112-ECA3-4B26-BDA5-9AA026A45BBF}
UGA,UGA,Uganda,Uganda,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,UGA ABC,0,{87A4B42C-43EE-4943-9990-1DE42E33AC0E}
UKR,UKR,Ukraine,Ukraine,Europe,Europe,Europe,Eastern Europe,UKR ABC,0,{A14AF3E0-A29F-443C-A154-166F4D691450}
ARE,UAE,United Arab Emirates,United Arab Emirates,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,0,{C9DFE21F-1231-408D-A742-9E87A29C627B}
GBR,GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",GBR ABC,0,{39D38231-71AD-43AD-AFCB-23A0109492C0}
TZA,TAN,United Republic of Tanzania,United Republic of Tanzania,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,Central Africa and the Great Lakes,TZA ABC,0,{697F3F7A-F194-42A1-A78A-76B8844AD67F}
USA,USA,United States of America,United States of America,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{11F585B9-B42E-4981-ABF1-B1C25FC34F75}
URY,URU,Uruguay,Uruguay,Americas ,Americas ,Americas,Latin America,ARG RO ABC,0,{878775EE-2C00-4FD5-A987-8FD13554B3A7}
UZB,UZB,Uzbekistan,Uzbekistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,KAZ RO ABC,0,{F44664B1-90CD-4972-AC8C-0856D8EBCB24}
VUT,VAN,Vanuatu,Vanuatu,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{9EBB2FB4-29A3-4FBE-AFCF-98D240A80204}
VEN,VEN,Bolivarian Republic of Venezuela,Venezuela (Bolivarian Republic of),Americas ,Americas ,Americas,Latin America,VEN ABC,0,{9C53F4C3-1773-4081-8E22-5D99A8D3F11D}
VNM,SRV,Viet Nam,Viet Nam,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{8761ACB9-39FB-4797-932C-F09BD9F9A496}
ESH,WSH,Western Sahara,Western Sahara,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,ESH ABC,0,{4E800B51-E782-4F7E-BF5D-4CBA2FD7FAE2}
YEM,YEM,Yemen,Yemen,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,YEM ABC,0,{D645B3CD-DB8F-4186-B175-A989B8DCDE51}
ZMB,ZAM,Zambia,Zambia,Southern Africa,Southern Africa,Africa,Southern Africa,ZMB ABC,0,{B057B9B3-A262-46A0-B3D3-7D5A26513FD9}
ZWE,ZIM,Zimbabwe,Zimbabwe,Southern Africa,Southern Africa,Africa,Southern Africa,ZWE ABC,0,{2527DC46-0E95-4618-90A6-19EC6E7B5212}
TWN,TWN,Taiwan (CHN),,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{282E9F17-E0A1-45A1-A614-EEB23B263960}
