iso3,proGres_code,gis_name,UNSD_name,main_office,main_office_short,hcr_region,hcr_subregion,code_op,excom,globalid
GRL,GRL,Greenland (DNK),Greenland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",RBE,0,{628A85BA-12D0-453C-A3D7-AAE7D5E2E291}
GRD,GRN,Grenada,Grenada,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{184CCD76-AF6B-4416-BFB4-05D527F3F75C}
GLP,GLP,Guadeloupe (FRA),Guadeloupe,Americas ,Americas ,The Americas,North America and the Caribbean,,0,{0CDB651B-8B62-4B72-87F3-366B16D46934}
GTM,GUA,Guatemala,Guatemala,Americas ,Americas ,Americas,Latin America,PAN RO ABC,0,{71109ACC-C6E1-48CD-8CFF-B7B63520DED6}
GIN,GUI,Guinea,Guinea,West and Central Africa,West and Central Africa,Africa,West Africa,SEN RO ABC,0,{0DD29252-0FC4-4025-A6FE-42C4EF6AF827}
GNB,GNB,Guinea-Bissau,Guinea-Bissau,West and Central Africa,West and Central Africa,Africa,West Africa,SEN RO ABC,0,{C4FBD128-D56B-480F-99FD-EA4CF5698985}
GUY,GUY,Guyana,Guyana,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{CCC59F60-8A7F-4311-B5C7-A0C92007311A}
HTI,HAI,Haiti,Haiti,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{CF51A4B0-BEDE-44F9-918C-BE3DECB2891A}
VAT,VAT,Holy See,Holy See,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",RBE,0,{65D7E57A-5B0E-4CF5-8F09-935668A23B34}
HND,HON,Honduras,Honduras,Americas ,Americas ,Americas,Latin America,PAN RO ABC,0,{254B2020-B58D-4C6C-BBCB-FF609A75C905}
HUN,HUN,Hungary,Hungary,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",HUN RO ABC,0,{39D0482E-60EF-41F7-8CD7-9D53D2CE5396}
ISL,ICE,Iceland,Iceland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,0,{629A37C1-C8B9-49FB-8362-107C29E16FAC}
IND,IND,India,India,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South Asia,IND ABC,0,{01219D08-42B9-4A71-869B-6AEC17A071F7}
IDN,INS,Indonesia,Indonesia,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,IDN ABC,0,{83D80A24-EBC2-4B20-85DC-0B8A70AC58B7}
IRN,IRN,Islamic Republic of Iran,Iran (Islamic Republic of),Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South-West Asia,IRN ABC,0,{B496B57E-0A82-4323-8EB8-2431AC9D7D2E}
IRQ,IRQ,Iraq,Iraq,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,IRQ ABC,0,{942791AF-721D-4E31-B17E-73C8C4FAC2F9}
IRL,IRE,Ireland,Ireland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{ED3A9BF6-1B18-478A-8ACB-F64E5391903F}
ISR,ISR,Israel,Israel,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,ISR ABC,0,{1B333574-0E36-450E-95B8-5B766C38B767}
ITA,ITA,Italy,Italy,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",ITA RO ABC,0,{A09839A1-856D-4CD5-8DB1-7F503F0C69E4}
JAM,JAM,Jamaica,Jamaica,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{C8EA30A8-1480-4A2F-BF01-0B319893BA70}
JPN,JPN,Japan,Japan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,JPN ABC,0,{41556FCC-462E-40B7-B81E-3F63C2B00FDA}
JOR,JOR,Jordan,Jordan,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,JOR ABC,0,{A15E5EC6-772A-4954-93AC-70D114F302ED}
KAZ,KAZ,Kazakhstan,Kazakhstan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,KAZ RO ABC,0,{04C8A3FF-EECA-4E9F-9510-745762A1B489}
KEN,KEN,Kenya,Kenya,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,KEN ABC,0,{4F2A8E08-B314-4466-A47F-C0FC0FAEFCFE}
KIR,KIR,Kiribati,Kiribati,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{2B3723B0-4342-4D56-A530-69A5F736E16C}
XKX,KOS,Kosovo,Kosovo,Europe,Europe,Europe,South-Eastern Europe,,0,
KWT,KUW,Kuwait,Kuwait,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,0,{58314645-9FF9-4D4F-84C3-3C849BE43583}
KGZ,KGZ,Kyrgyzstan,Kyrgyzstan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,KGZ ABC,0,{8DC54F6D-4CAD-4EE4-BA4C-9386F12D3123}
LAO,LAO,Lao People's Democratic Republic,Lao People's Democratic Republic,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{CC4E8C05-0E1C-4D4E-9E88-35EFE7562127}
LVA,LVA,Latvia,Latvia,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,0,{199D343A-98F6-438B-A574-89A80C7277B9}
LBN,LEB,Lebanon,Lebanon,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,LBN ABC,0,{349F1317-F628-4A92-BCB8-0D7A80033C82}
LSO,LES,Lesotho,Lesotho,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{892869F2-5AE1-4BF0-9723-E9EE938EBB64}
LBR,LBR,Liberia,Liberia,West and Central Africa,West and Central Africa,Africa,West Africa,LBR ABC,0,{9B0A9726-6952-44B0-8E65-74E306286116}
LBY,LBY,Libya,Libya,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,LBY ABC,0,{D4A847D2-98E0-4459-8DC1-17236BEAB9E8}
